mesto,avtor,naslov,producent,leto,zalozba,album
317,Black Sabbath,Iron Man,Roger Bain,71,Warner<br />10 weeks; No. 52,Paranoid 
316,Tina Turner,What's Love Got to Do With It,Britten,84,Capitol<br />28 weeks; No. 1,"""/music/music-album-reviews/private-dancer-204642/""  target=""_blank""  rel=""nofollow""  >Private Dancer"
315,Jackie Wilson,Lonely Teardrops,Dick Jacobs,58,Brunswick<br />21 weeks; No. 7,The Greatest Hits of Jackie Wilson
314,Frankie Lymon and The Teenagers,Why Do Fools Fall In Love,George Goldner,56,Gee<br />21 weeks; No. 6,The Best of Frankie Lymon and the Teenagers
313,The Jam,That's Entertainment,"Vic Coppersmith-Heaven, the Jam",80,Polydor<br />Non-single in the U.S.,Sound Affects
312,James Brown,Say It Loud - I'm Black and I'm Proud,Brown,68,King<br />11 weeks; No. 10,50th Anniversary Collection
311,The Beatles,With a Little Help From My Friends,George Martin,67,Capitol<br />Non-single,"""/music/music-album-reviews/sgt-peppers-lonely-hearts-club-band-251754/""  target=""_blank""  rel=""nofollow""  >Sgt. Pepper&#x2019;s Lonely Hearts Club Band"
310,The Rolling Stones,Ruby Tuesday,Andrew Loog Oldham,67,London<br />12 weeks; No. 1,Between the Buttons
309,Willie Nelson,Blue Eyes Crying in the Rain,Nelson,75,Columbia<br />18 weeks; No. 21,"""/music/music-country/red-headed-stranger-204123/""  target=""_blank""  rel=""nofollow""  >Red Headed Stranger"
308,Rod Stewart,Da Ya Think I'm Sexy?,Tom Dowd,78,Warner Bros.<br />21 weeks; No. 1,"""/music/music-album-reviews/blondes-have-more-fun-194244/""  target=""_blank""  rel=""nofollow""  >Blondes Have More Fun</a>&#xA0;"
307,Daft Punk,One More Time,Daft Punk,00,Virgin<br />16 weeks; No. 61,"""/music/music-album-reviews/discovery-251661/""  target=""_blank""  rel=""nofollow""  >Discovery"
306,Madonna,Like A Prayer,"Madonna, Leonard",89,Sire<br />16 weeks; No. 1,"""/music/music-album-reviews/like-a-prayer-2-255386/""  target=""_blank""  rel=""nofollow""  >Like a Prayer"
305,Blondie,One Way or Another,Mike Chapman,78,Chrysalis<br />14 weeks; No. 24,<em>&#xA0;
304,Prince,Sign 'O' The Times,Prince,87,Paisley Park<br />14 weeks; No. 3,"""/music/music-album-reviews/sign-o-the-times-190234/""  target=""_blank""  rel=""nofollow""  >Sign &apos;O&apos; the Times "
303,Neil Young,Heart of Gold,"Elliot Mazer, Young",72,Reprise<br />14 weeks; No. 1,"""/music/music-album-reviews/harvest-98619/""  target=""_blank""  rel=""nofollow""  >Harvest</a> "
302,Bob Marley and the Wailers,"Get Up, Stand Up",Chris Blackwell,75,Island<br />Did not chart,Legend
301,The Rolling Stones,Street Fighting Man,Jimmy Miller,68,London<br />6 weeks; No. 48,"""/music/albumreviews/beggars-banquet-19970617""  target=""_blank""  rel=""nofollow""  >Beggars Banquet"
300,Led Zeppelin,Black Dog,Page,71,Atlantic<br />12 weeks; No. 15,"""/music/music-album-reviews/led-zeppelin-iv-101608/""  target=""_blank""  rel=""nofollow""  >Led Zeppelin IV"
299,Al Green,Tired of Being Alone,"Willie Mitchell, Green",71,Hi<br />19 weeks; No. 11,Greatest Hits
298,The Clash,Train in Vain,Guy Stevens,79,Epic<br />14 weeks; No. 23,"""/music/music-album-reviews/london-calling-2-252761/""  target=""_blank""  rel=""nofollow""  >London Calling</a> "
297,The Zombies,She's Not There,Ken Jones,64,Parrot<br />15 weeks; No. 2,British Invasion: 1963-1967&#xA0;
296,Eminem feat. Dido,Stan,"Eminem, the 45 King",00,Aftermath<br />15 weeks; No. 51,"""/music/music-album-reviews/the-marshall-mathers-lp-203914/""  target=""_blank""  rel=""nofollow""  >The Marshall Mathers LP"
295,The Beatles,Can't Buy Me Love,George Martin,64,Capitol<br />10 weeks; No. 1,A Hard Day&#x2019;s Night 
294,Barrett Strong,Money (That's What I Want),Gordy,60,Anna<br />17 weeks; No. 23,Motown: The Classic Years
293,Run-DMC,Walk This Way,"Rick Rubin,Russell Simmons",86,Profile<br />16 weeks; No. 4,"""/music/music-album-reviews/raising-hell-203967/""  target=""_blank""  rel=""nofollow""  >Raising Hell"
292,Pavement,Summer Babe (Winter Version),"Malkmus, Scott Kannberg",92,Drag City<br />Did not chart,"""/music/music-album-reviews/slanted-and-enchanted-luxe-reduxe-188279/""  target=""_blank""  rel=""nofollow""  >Slanted and Enchanted"
291,Howlin' Wolf,Smokestack Lightning,"Leonard and Phil Chess, Willie Dixon",56,Chess<br />Did not chart,His Best 
290,Elvis Costello and the Attractions,"(What's So Funny About) Peace, Love and Understanding",Lowe,79,Columbia<br />Non-single,"""/music/music-album-reviews/armed-forces-194069/""  target=""_blank""  rel=""nofollow""  >Armed Forces"
289,Blondie,Call Me,Moroder,80,Chrysalis<br />25 weeks; No. 1,Best of Blondie
288,Joni Mitchell,Help Me,Mitchell,74,Asylum<br />19 weeks; No. 7,"""/music/music-album-reviews/review-joni-mitchell-strikes-a-delicate-balance-on-court-and-spark-194402/""  target=""_blank""  rel=""nofollow""  >Court and Spark "
287,Stevie Wonder,You Are the Sunshine of My Life,Wonder,72,Tamla<br />17 weeks; No. 1,"""/music/music-album-reviews/talking-book-89695/""  target=""_blank""  rel=""nofollow""  >Talking Book "
286,The White Stripes,Seven Nation Army,White,03,V2/Third Man,"""/music/music-album-reviews/elephant-2-117445/""  target=""_blank""  rel=""nofollow""  >Elephant"
285,Bill Withers,Ain't No Sunshine,Booker T. Jones,71,Sussex<br />16 weeks; No. 3,Lean on Me: The Best of Bill Withers
284,The Dixie Cups,Chapel of Love,"Jerry Leiber, Mike Stoller, Barry, Greenwich",64,Red Bird<br />13 weeks; No. 1,"The Best of the Girl Groups, Vol. 1"
283,The Cure,Pictures of You,"Smith, David M. Allen",89,Elektra<br />8 weeks; No. 71,"""/music/music-album-reviews/disintegration-196342/""  target=""_blank""  rel=""nofollow""  >Disintegration "
282,David Bowie,Ziggy Stardust,"Ken Scott, Bowie",72,RCA<br />Non-single,"""/music/music-album-reviews/the-rise-fall-of-ziggy-stardust-and-the-spiders-from-mars-95636/""  target=""_blank""  rel=""nofollow""  >The Rise and Fall of Ziggy Stardust and the Spiders From Mars"
281,The Staple Singers,ll Take You There,Bell,72,Stax<br />15 weeks; No. 1,Bealtitude: Respect Yourself
280,Bruce Springsteen,Born in the U.S.A.,"Springsteen, Jon Landau, Chuck Plotkin, Steve Van Zandt",84,Columbia<br />17 weeks; No. 9,Born in the U.S.A.
279,Jefferson Airplane,Somebody to Love,Rick Jarrard,67,RCA<br />15 weeks; No. 5,"""/music/music-album-reviews/surrealistic-pillow-251704/""  target=""_blank""  rel=""nofollow""  >Surrealistic Pillow"
278,The Beatles,Something,George Martin,69,Apple<br />16 weeks; No. 3,"""/music/music-album-reviews/abbey-road-181270/""  target=""_blank""  rel=""nofollow""  >Abbey Road"
277,Chuck Berry,Sweet Little Sixteen,Leonard and Phil Chess,58,Chess<br />16 weeks; No. 2,The Anthology
276,The Beach Boys,Sloop John B,Wilson,66,Capitol<br />11 weeks; No. 3,"""/music/music-album-reviews/pet-sounds-249007/""  target=""_blank""  rel=""nofollow""  >Pet Sounds"
275,George Jones,He Stopped Loving Her Today,Billy Sherrill,80,Epic<br />Did not chart,I Am What I Am
274,The Modern Lovers,Roadrunner,John Cale,76,Beserkley<br />Did not chart,The Modern Lovers
273,Kanye West,Jesus Walks,West,04,Roc-a-Fella<br />25 weeks; No. 11,"""/music/music-album-reviews/college-dropout-255465/""  target=""_blank""  rel=""nofollow""  >The College Dropout</a>&#xA0;"
272,U2,Sunday Bloody Sunday,Steve Lillywhite,83,Island<br />Did not chart,"""/music/music-album-reviews/war-105402/""  target=""_blank""  rel=""nofollow""  >War</a> "
271,New York Dolls,Personality Crisis,Todd Rundgren,73,Mercury<br />Did not chart,"""/music/music-album-reviews/new-york-dolls-182222/""  target=""_blank""  rel=""nofollow""  >New York Dolls"
270,Archie Bell and The Drells,Tighten Up,Skipper Lee Frazier,68,Atlantic<br />15 weeks; No. 1,Tightening It Up: The Best of Archie Bell and the Drells
269,The Ronettes,Walking in the Rain,Spector,64,Philles<br />11 weeks; No. 23,The Best of the Ronettes 
268,Randy Newman,Sail Away,Lenny Waronker,72,Reprise<br />Did not chart,"""/music/music-album-reviews/sail-away-2-204364/""  target=""_blank""  rel=""nofollow""  >Sail Away"
267,The Crystals,He's A Rebel,,62,Philles<br />18 weeks; No. 1,Best of the Crystals
266,Smokey Robinson and The Miracles,Ooo Baby Baby,Robinson,65,Tamla<br />11 weeks; No. 16,Ooo Baby Baby: The Anthology&#xA0;
265,Stevie Wonder,Higher Ground,Wonder,73,Tamla<br />14 weeks; No. 4,"""/music/music-album-reviews/innervisions-246460/""  target=""_blank""  rel=""nofollow""  >Innervisions"
264,Jeff Buckley,Hallelujah,Andy Wallace,94,Columbia<br />Non-Single,"""/music/music-album-reviews/grace-190457/""  target=""_blank""  rel=""nofollow""  >Grace"
263,The Dells,"Oh, What A Night",Bobby Miller,69,Cadet<br />11 weeks; No. 10,Ultimate Collection
262,The Who,I Can See For Miles,Kit Lambert,67,Decca<br />11 weeks; No. 9,The Who Sell Out
261,The Troggs,Wild Thing,Larry Page,66,Atco/Fontana<br />11 weeks; No. 1,Greatest Hits
260,Bob Dylan,Mississippi,Jack Frost,01,Columbia<br />Non-Single,"""/music/music-album-reviews/love-and-theft-252644/""  target=""_blank""  rel=""nofollow""  >Love and Theft"
259,Blondie,Heart of Glass,Mike Chapman,78,Chrysalis<br />21 weeks; No. 1,"""/music/music-album-reviews/parallel-lines-113070/""  target=""_blank""  rel=""nofollow""  >Parallel Lines"
258,AC/DC,Highway to Hell,Robert John Lange,79,Atlantic<br />10 weeks; No. 47,"""/music/music-album-reviews/highway-to-hell-196441/""  target=""_blank""  rel=""nofollow""  >Highway to Hell"
257,Radiohead,Paranoid Android,"Nigel Godrich,",97,Capitol<br />Did not chart,"""/music/music-album-reviews/ok-computer-189802/""  target=""_blank""  rel=""nofollow""  >OK Computer"
256,Mott the Hoople,All the Young Dudes,Bowie,72,Columbia<br />11 weeks; No. 37,"""/music/music-album-reviews/all-the-young-dudes-199713/""  target=""_blank""  rel=""nofollow""  >All the Young Dudes"
255,Bobby Darin,Mack the Knife,Ahmet Ertegun,59,Atco<br />26 weeks; No. 1,That&#x2019;s All
254,The Drifters,Money Honey,"Ahmet Ertegun, Jerry Wexler",53,Atlantic,Greatest Hits
253,Black Sabbath,Paranoid,Rodger Bain,70,Warner Bros.<br />8 weeks; No. 61,Paranoid
252,Aretha Franklin,Chain of Fools,Jerry Wexler,67,Atlantic<br />12 weeks; No. 2,"""/music/lists/500-greatest-albums-of-all-time-19691231/lady-soul-aretha-franklin-19691231""  target=""_blank""  rel=""nofollow""  >Lady Soul"
251,Sugarhill Gang,Rapper's Delight,Sylvia Robinson,79,Sugar Hill<br />12 weeks; No. 36,Rappers Delight: The Best of Sugarhill Gang
250,Sly and the Family Stone,Hot Fun in the Summertime,Stone,69,Epic<br />16 weeks; No. 2,Greatest Hits
249,The Band,The Night They Drove Old Dixie Down,"John Simon, the Band",69,Capitol<br />Non-single,The Band
248,Jackie Wilson,(Your Love Keeps Lifting Me) Higher and Higher,Carl Davis,67,Brunswick<br />12 weeks; No. 6,The Very Best of Jackie Wilson
247,The Spencer Davis Group,Gimme Some Lovin',Jimmy Miller,66,United Artists<br />13 weeks; No. 7,Gimme Some Lovin&apos; 
246,The B-52's,Love Shack,"Don Was, Nile Rodgers",89,Reprise<br />27 weeks; No. 3,Cosmic Thing
245,Elton John,Rocket Man,Gus Dudgeon,72,Uni<br />15 weeks; No. 6,Honky Chateau
244,Sly and the Family Stone,Stand!,Stone,69,Epic<br />8 weeks; No. 22,Stand!
243,Dion,The Wanderer,Gene Schwartz,61,Laurie<br />18 weeks; No. 2,Runaround Sue
242,Dusty Springfield,Son of a Preacher Man,Jerry Wexler,68,Atlantic<br />12 weeks; No. 10,Dusty in Memphis
241,Patsy Cline,I Fall to Pieces,Owen Bradley,61,Decca<br />20 weeks; No. 12,12 Greatest Hits
240,Afrika Bambaataa and the Soul Sonic Force,Planet Rock,"Bambaataa, Arthur Baker",82,Tommy Boy<br />11 weeks; No. 48,Looking for the Perfect Beat 1980-1985
239,Ray Charles,I Got a Woman,Jerry Wexler,54,ABC-Parliament<br />Predates chart,Atlantic Singles
238,Buddy Holly and the Crickets,Everyday,Petty,57,Coral a<br />Did not chart,Best of Buddy Holly
237,The Byrds,I'll Feel a Whole Lot Better,Terry Melcher,65,Columbia<br />Did not chart,Mr. Tambourine Man
236,M.I.A.,Paper Planes,"Diplo, Switch",07,Interscope<br />21 weeks; No. 4,"""/music/music-album-reviews/kala-248078/""  rel=""nofollow""  target=""_blank""  >Kala"
235,The Animals,We Gotta Get Out of This Place,Mickie Most,65,MGM<br />11 weeks; No. 13,Retrospective
234,Roy Orbison,Only the Lonely,Fred Foster,60,Monument<br />21 weeks; No. 2,For the Lonely: 18 Greatest Hits
233,Marvin Gaye,Sexual Healing,Gaye,82,Columbia<br />21 weeks; No. 3,Midnight Love
232,Bob Dylan,Just Like a Woman,Bob Johnston,66,Columbia<br />6 weeks; No. 33,Blonde on Blonde
231,Van Morrison,Moondance,Morrison,70,Warner Bros.<br />4 weeks; No. 92,The Anthology
229,Chic,Good Times,"Rodgers, Edwards",79,Atlantic<br />19 weeks; No. 1,Risqu&#xE9;
228,The Clash,Should I Stay or Should I Go,Glyn Johns,82,Epic<br />13 weeks; No. 45,Combat Rock
227,James Taylor,Fire and Rain,Peter Asher,70,Warner Bros.<br />16 weeks; No. 3,Sweet Baby James
226,Muddy Waters,Hoochie Coochie Man,"Leonard and Phil Chess, Dixon",54,Chess<br />Did not chart,The Anthology
225,Sly and the Family Stone,Dance to the Music,Stone,68,Epic<br />15 weeks; No. 8,Dance to the Music
224,Roy Orbison,"Oh, Pretty Woman",Wesley Rose,64,Monument<br />15 weeks; No. 1,For the Lonely: 18 Greatest Hits
223,Lou Reed,Walk on the Wild Side,"David Bowie, Mick Ronson, Reed",72,RCA<br />14 weeks; No. 16,Transformer
222,The Left Banke,Walk Away Renee,Harry Lookofsky,66,Smash<br />13 weeks; No. 5,There&apos;s Gonna Be a Storm
221,Howlin' Wolf,Spoonful,Leonard and Phil Chess,60,Chess<br />Did not chart,Anniversary Collection
220,John Lee Hooker,Boom Boom,Calvin Carter,62,Vee-Jay<br />10 weeks; No. 60,The Very Best of John Lee Hooker
219,Dolly Parton,Jolene,Bob Ferguson,74,RCA<br />8 weeks; No. 60,Jolene
218,The Lovin' Spoonful,Do You Believe in Magic,Erik Jacobsen,65,Kama Sutra <br /> 13 weeks; No. 9,Do You Believe in Magic
217,Hank Williams,Your Cheatin' Heart,Rose,53,MGM<br />Predates pop charts,The Ultimate Collection 
216,Neil Young,Rockin' in the Free World,"Niko Bolas, Young",89,Reprise<br />Non-single,Freedom
215,Prince,1999,Prince,82,Warner Bros.<br />27 weeks; No. 12,1999
214,The Beach Boys,"Caroline, No",Wilson,66,Capitol<br />7 weeks; No. 32,Pet Sounds
213,? and the Mysterians,96 Tears,Martinez,66,Pa-Go-Go<br />15 weeks; No. 1,More Action
212,The Beach Boys,In My Room,Wilson,63,Capitol<br />11 weeks; No. 23,"Surfer Girl/Shut Down, Volume 2"
211,Them,Gloria,Tommy Scott,65,Parrot,The Story of Them
210,The Everly Brothers,Bye Bye Love,Archie Bleyer,57,Cadence<br />27 weeks; No. 2,All-Time Original Hits
209,The Four Tops,"Reach Out, I'll Be There","Holland, Dozier, Holland",66,Motown<br />15 weeks; No. 1,The Ultimate Collection
208,Bill Withers,Lean on Me,Withers,72,Sussex<br />19 weeks; No. 1,Lean on Me
207,Otis Redding,Try a Little Tenderness,"Steve Cropper, Jim Stewart",66,Stax<br />10 weeks; No. 25,Very Best of Otis Redding
206,Bob Dylan,Positively 4th Street,Bob Johnston,65,Columbia<br />9 weeks; No. 7,The Essential Bob Dylan
205,The Beatles,Come Together,George Martin,69,Apple<br />16 weeks; No. 1,Abbey Road 
204,New Order,Bizarre Love Triangle,New Order,86,Qwest<br />2 weeks; No. 98,Substance
203,Beck,Loser,Karl Stephenson,1993,Bong Load <br />24 weeks; No. 10,Mellow Gold
202,Parliament,Flash Light,Clinton,77,Casablanca<br />16 weeks; No. 16,Funkentelechy vs. the Placebo Syndrome
201,The Jimi Hendrix Experience,Hey Joe,Chas Chandler,66,Reprise<br />Did not chart,Are You Experienced?
200,Elvis Presley,Don't Be Cruel,Steve Sholes,56,RCA<br />27 weeks; No. 1,Elvis: 30 #1 Hits
199,The Chantels,Maybe,Richard Barrett,57,End<br />18 weeks; No. 15,The Best of the Chantels
198,Guns n' Roses,Sweet Child O'Mine,Mike Clink,87,Geffen<br />24 weeks; No. 1,Appetite for Destruction 
197,Buddy Holly,Peggy Sue,Petty,57,Coral<br />22 weeks; No. 3,Greatest Hits
196,The Drifters,There Goes My Baby,"Jerry Leiber, Mike Stoller",59,Atlantic<br />19 weeks; No. 2,The Very Best of the Drifters
195,Glen Campbell,Wichita Lineman,Al De Lory,68,Capitol<br />15 weeks; No. 3,Wichita Lineman 
194,Amy Winehouse,Rehab,Mark Ronson,07,Universal Republic<br />20 weeks; No. 9,Back to Black
193,Lynyrd Skynyrd,Free Bird,Al Kooper,73,MCA<br />12 weeks; No. 19,One More From the Road
192,Bob Dylan,Knockin' on Heaven's Door,Gordon Carroll,73,Columbia<br />16 weeks; No. 12,The Essential Bob Dylan
191,Bee Gees,Stayin' Alive,"Barry Gibb, Robin Gibb, Maurice Gibb, Karl Richardson,Albhy Galuten",77,RSO<br />27 weeks; No. 1,Saturday Night Fever 
190,AC/DC,Back in Black,Mutt Lange,80,Atlantic<br />15 weeks; No. 37,Back in Black
189,Aretha Franklin,I Never Loved a Man (the Way I Love You),Jerry Wexler,67,Atlantic<br />11 weeks; No. 9,I Never Loved a Man (the Way I Love You)
188,Creedence Clearwater Revival,Who'll Stop the Rain,Fogerty,70,Fantasy<br />Did not chart,Cosmo&apos;s Factory
187,Bob Dylan,Desolation Row,Bob Johnston,65,Columbia<br />Non-single,Highway 61 Revisited 
186,The Beatles,Please Please Me,George Martin,64,Vee-Jay<br />13 weeks; No. 3,Please Please Me
185,B.B. King,The Thrill is Gone,Bill Szymczyk,69,BluesWay<br />14 weeks; No. 15,Greatest Hits 
184,The Drifters,Save the Last Dance for Me,"Jerry Leiber, Mike Stoller",60,Atlantic<br />18 weeks; No. 1,The Drifters&apos; Golden Hits
183,Booker T. and the MG's,Green Onions,Jim Stewart,62,Stax<br />16 weeks; No. 3,Green Onions
182,OutKast,Hey Ya!,André 3000,03,LaFace<br />32 weeks; No. 1,Speakerboxxx/The Love Below
181,Joy Division,Love Will Tear Us Apart,Martin Hannett,80,Enigma<br />Did not chart,Substance 1977-1980
180,Big Star,September Gurls,Big Star,74,Ardent<br />Did not chart,Radio City
179,Tom Petty,Free Fallin',Lynne,89,MCA<br />21 weeks; No. 7,Full Moon Fever
178,The Beach Boys,Don't Worry Baby,Wilson,64,Capitol<br />10 weeks; No. 24,Sounds of Summer 
177,The Bobby Fuller Four,I Fought the Law,Bob Keane,66,Mustang<br />11 weeks; No. 9,I Fought the Law:&#xA0;The Best of the Bobby Fuller Four
176,The Rolling Stones,Paint it Black,Andrew Loog Oldham,66,London<br />11 weeks; No. 1,Aftermath
175,The Sex Pistols,God Save the Queen,Chris Thomas,77,Warner Bros.<br />Did not chart,"Never Mind the Bollocks, Here&apos;s the Sex Pistols "
174,Abba,Dancing Queen,"Andersson, Ulvaeus",76,Atlantic<br />22 weeks; No. 1,Arrival
173,Aerosmith,Dream On,Arian Barber,73,Columbia<br />9 weeks; No. 59,Aerosmith
172,Jay-Z,99 Problems,Rubin,03,Roc-a-Fella<br />12 weeks; No. 30,The Black Album
171,Joni Mitchell,Both Sides Now,Mitchell,69,Reprise<br />Did not chart,Clouds
170,R.E.M.,Losing My Religion,"Scott Lift, R.E.M.",91,Warner Bros.<br />21 weeks; No. 4,Out of Time
169,The Temptations,Papa Was a Rollin' Stone,Whitfield,72,Gordy<br />16 weeks; No. 1,Anthology
168,Marvin Gaye,Let's Get It On,"Gaye, Townsend",73,Tamla<br />14 weeks; No. 1,Let&apos;s Get It On
167,Tracy Chapman,Fast Car,David Kershenbaum,88,Elektra<br />21 weeks; No. 6,Tracy Chapman
166,Queen,Bohemian Rhapsody,Roy Thomas Baker,75,Elektra<br />24 weeks; No. 9,A Night at the Opera
165,Sinead O'Connor,Nothing Compares 2 U,"O'Connor, Nellee Hooper",90,Ensign<br />21 weeks; No. 1,"""/music/music-album-reviews/i-do-not-want-what-i-havent-got-94290/""  rel=""nofollow""  target=""_blank""  >I Do Not Want What I Haven&apos;t Got "
164,Ray Charles,I Can't Stop Loving You,Sid Feller,62,ABC-Paramount<br />18 weeks; No. 1,Modern Sounds in Country and Western Music 
163,Johnny Cash,Folsom Prison Blues,Sam Phillips,56,Sun<br />18 weeks; No. 32,The Essential Johnny Cash
162,Public Enemy,Bring the Noise,"Rick Rubin, Carl Ryder",88,Def Jam<br />Did not chart,It Takes a Nation of Millions to Hold Us Back
161,The Velvet Underground,I'm Waiting for the Man,"Andy Warhol, Tom Wilson",67,Verve<br />Non-single,"""/music/music-album-reviews/the-velvet-underground-nico-deluxe-edition-189532/""  rel=""nofollow""  target=""_blank""  >The Velvet Underground and Nico"
160,U2,Moment of Surrender,"Brian Eno, Daniel Lanois",09,Interscope<br />Non-single,No Line on the&#xA0;Horizon
159,Bill Haley and His Comets,(We're Gonna) Rock Around the Clock,Milt Gabler,54,Decca<br />24 weeks; No. 1,The Best of Bill Haley and His Comets
158,The Flamingos,I Only Have Eyes for You,George Goldner,59,End<br />13 weeks; No. 11,The Best of the Flamingos
157,Simon and Garfunkel,The Sounds of Silence,Tom Wilson,65,Columbia<br />14 weeks; No. 1,Sounds of Silence
156,Creedence Clearwater Revival,Proud Mary,Fogerty,69,Fantasy<br />14 weeks; No. 2,Bayou Country
155,Buddy Holly and the Crickets,Rave On,Petty,58,Coral<br /><strong>10 weeks;</strong> No. 37,Buddy Holly: Greatest Hits
154,The Beatles,A Hard Day's Night,George Martin,64,Capitol<br />13 weeks; No. 1,A Hard Day&apos;s Night
153,The Jimi Hendrix Experience,Foxey Lady,Chas Chandler,65,Reprise<br />4 weeks; No. 67,Are You Experienced?
152,The Penguins,Earth Angel,Dootsie Williams,54,Dootone<br />15 weeks; No. 8,Earth Angel 
151,The Byrds,Eight Miles High,Allen Stanton,66,Columbia<br />9 weeks; No. 14, Fifth Dimension
150,The Everly Brothers,Cathy's Clown,Wesley Rose,60,Warner Bros.<br />17 weeks; No. 1,All-Time Original Hits
149,Iggy Pop,Lust for Life,Bowie,77,RCA<br />Did not chart,Lust for Life
148,Janis Joplin,Me and Bobby McGee,Paul Rothchild,71,Columbia<br />15 weeks; No. 1,Pearl
147,The B-52's,Rock Lobster,Chris Blackwell,79,Warner Bros.<br />8 weeks; No. 56,The B-52&apos;
146,Sly and the Family Stone,Everyday People,Stone,68,Epic<br />19 weeks; No. 1,Stand!
145,Ramones,I Wanna Be Sedated,"Tommy Erdelyi, Ed Stasium",78,Sire<br />Did not chart,Road to Ruin
144,Prince and the Revolution,Purple Rain,Prince,84,Warner Bros.<br />16 weeks; No. 2,Purple Rain
143,James Brown and His Famous Flames,"Please, Please, Please",Ralph Bass,56,Federal<br />2 weeks; No. 95,50th Anniversary Collection
142,The Everly Brothers,All I Have to Do Is Dream,Archie Bleyer,58,Cadence<br />11 weeks; No. 21,All-Time Original Hits
141,Led Zeppelin,Kashmir,Page,75,Swan Song<br />Non-single,Physical Graffiti 
140,The Beatles,I Saw Her Standing There,George Martin,64,Capitol<br />11 weeks; No. 14,Please Please Me
139,Sly and the Family Stone,Family Affair,Stone,71,Epic<br />14 weeks; No. 1,There&apos;s a Riot Goin&apos; On
138,The Beatles,Eleanor Rigby,George Martin,66,Capitol<br />8 weeks; No. 11,Revolver 
137,Elton John,Your Song,Gus Dudgeon,70,Uni<br />14 weeks; No. 8,Greatest Hits
136,The Beatles,While My Guitar Gently Weeps,George Martin,68,Apple<br />Non-single,The Beatles
135,Wilson Pickett,In the Midnight Hour,"Jerry Wexler, Jim Stewart",65,Atlantic<br />12 weeks; No. 21,The Very Best of Wilson Pickett 
134,The Who,Won't Get Fooled Again,"Glyn Johns, the Who",71,Decca<br />13 weeks; No. 15,Who&apos;s Next&#xA0;
133,Bo Diddley,Who Do You Love?,Phil and Leonard Chess,57,Checker<br />Did not chart,His Best: The Chess 50th Anniversary Collection
132,U2,With or Without You,"Brian Eno, Daniel Lanois",87,Island<br />18 weeks; No. 1,The Joshua Tree
131,Rod Stewart,Maggie May,Stewart,71,Mercury<br />17 weeks; No. 1,Every Picture Tells a Story
130,Steppenwolf,Born to Be Wild,Gabriel Mekler,68,Dunhill<br />13 Weeks; No. 2,Steppenwolf
129,Chuck Berry,Rock & Roll Music,Phil and Leonard Chess,57,Chess<br />19 Weeks; No. 8</span>,Johnny B. Goode: His Complete &apos;50s Chess Recordings
128,David Bowie,Changes,,71,RCA<strong><br />11 Weeks;</strong> No. 41,Hunky Dory 
127,Big Joe Turner,"Shake, Rattle & Roll",,54,Atlantic<strong><br /></strong>Predates chart,The Very Best of Big Joe Turner 
126,The Shirelles,Will You Love Me Tomorrow,Luther Dixon,60,Scepter<br />19 weeks; No. 1,Girl Group Greats
125,The Rolling Stones,Jumpin' Jack Flash,Jimmy Miller,68,London <br />12 weeks; No. 3,"""/music/music-album-reviews/forty-licks-189208/""  rel=""nofollow""  target=""_blank""  >Forty Licks "
124,James Brown,It's A Man's Man's Man's World,Brown,66,King <br />9 weeks; No. 8,50th Anniversary Collection (
123,The Animals,The House of the Rising Sun,Mickie Most,64,MGM<br />11 weeks; No. 1,"""/music/music-album-reviews/best-of-the-animals-185855/""  rel=""nofollow""  target=""_blank""  >The Best of the Animals"
122,Ben E. King,Stand By Me,"Leiber, Stoller",61,Atco<br />14 weeks; No. 4,The Very Best of Ben E. King
121,The Jackson 5,I Want You Back,"Perren, Mizell, Richards, Gordy",69,Motown <br />19 weeks; No. 1,The Ultimate Collection
120,Fleetwood Mac,Go Your Own Way,"Fleetwood Mac, Richard Dashut, Ken Caillat",77,Warner Bros. <br />15 weeks; No. 10,"""/music/music-album-reviews/rumours-189491/""  rel=""nofollow""  target=""_blank""  >Rumours"
119,The Isley Brothers,Shout (Parts 1 and 2),"Hugo Peretti, Luigi Creatore",59,RCA<br />11 weeks; No. 47,"The Isley Brothers Story, Vol. 1: Rockin&apos; Soul"
118,Beyonce feat. Jay-Z,Crazy in Love,"Harrison, Beyonce",03,Columbia<br />27 weeks; No. 1,"""/music/music-album-reviews/dangerously-in-love-104862/""  rel=""nofollow""  target=""_blank""  > Dangerously in Love "
117,Al Green,Take Me to the River,Willie Mitchell,74,Hi<br />Non-single,"""/music/music-album-reviews/al-green-explores-your-mind-251210/""  rel=""nofollow""  target=""_blank""  >Al Green Explores Your Mind "
116,The Rolling Stones,Honky Tonk Women,Jimmy Miller,69,London <br />15 weeks; No. 1,"""/music/music-album-reviews/let-it-bleed-182846/""  rel=""nofollow""  target=""_blank""  >Let It Bleed"
115,Sam Cooke,You Send Me,"Richard ""Bumps"" Blackwell",57,Keen<br />26 weeks; No. 1,Greatest Hits
114,The Drifters,Up on the Roof,"Jerry Leiber, Mike Stoller",62,Atlantic<br />20 weeks; No. 5,The Very Best of the Drifters 
113,Elvis Presley,That's All Right,Sam Phillips,54,Sun <br />Did not chart,Sunrise
112,Hank Williams,I'm So Lonesome I Could Cry,Fred Rose,49,Sterling <br />Did not chart,The Ultimate Collection
