mesto,avtor,naslov,producent,leto,zalozba,album
459,Guns N' Roses,Paradise City,Mike Clink,87,Geffen  <br />17 weeks; No. 5,Appetite for Destruction
458,Sam Cooke,Cupid,"Cooke, Hugo and Luigi",61,RCA <br />17 weeks; No. 12,Greatest Hits
457,Chubby Checker,The Twist,Karl Mann,60,Parkway  <br />39 weeks; No. 1,Greatest Hits
456,The Beatles,Penny Lane,George Martin,67,Capitol   <br />10 weeks; No. 1,"""/music/music-album-reviews/magical-mystery-tour-179688/""  rel=""nofollow""  target=""_blank""  >Magical Mystery Tour"
455,The Velvet Underground,Heroin,"Andy Warhol, Tom Wilson",67,Verve <br />Non-Single,"""/music/music-album-reviews/the-velvet-underground-nico-deluxe-edition-189532/""  rel=""nofollow""  target=""_blank""  >The Velvet Underground and Nico"
454,The Shangri-Las,Leader of the Pack,"Morton, Barry, Greenwich",64,Red Bird <br />12 weeks; No. 1,Myrmidons of Melodrama: Definitive Collection
453,Toots and the Maytals,Pressure Drop,Leslie Kong,73,Mango <br />Did Not Chart,The Harder They Come
452,Nirvana,Come As You Are,"Butch Vig, Nirvana",91,Geffen <br />18 weeks; No. 32,"""/music/music-album-reviews/nevermind-251483/""  rel=""nofollow""  target=""_blank""  >Nevermind"
451,Sonny and Cher,I Got You Babe,Bono,65,Atco <br />14 weeks; No. 1,The Beat Goes On: The Best of Sonny and Cher
450,Bob Marley and the Wailers,I Shot the Sheriff,Chris Blackwell,73,Island <br />did not chart,Burnin&apos;
449,The Dell-Vikings,Come Go With Me,Joe Averbach,57,Dot <br />31 weeks; No. 5,Golden Classics
448,50 Cent,In Da Club,"Dr. Dre, Elizondo",02,Interscope/Aftermath/Shady <br />30 weeks; No. 1,"""/music/music-album-reviews/get-rich-or-die-tryin-122197/""  rel=""nofollow""  target=""_blank""  >Get Rich or Die Tryin&apos;"
447,John Cougar Mellencamp,Pink Houses,"Little Bastard, Don Gehman",83,Riva <br />16 weeks; No. 8,"""/music/music-album-reviews/uh-huh-100428/""  rel=""nofollow""  target=""_blank""  >Uh-Huh"
446,Salt &#8216;n Pepa,Push It,Azor,87,Next Plateau <br />25 weeks; No. 19,"Hot, Cool and Vicious"
