skladba,avtor
326,Alice Cooper
326,Dennis Dunway
326,Neal Smith
325,Jimmy Cliff
324,David Gilmour
324,Roger Waters
323,Elvis Costello
322,Bennie Benjamin
322,"Sol Marcus,Gloria Caldwell"
321,David Gilmour
321,Roger Waters
320,Screamin' Jay Hawkins
320,Herb Slotkin
319,Joe Melson
319,Roy Orbison
318,Felice Bryant
318,Boudleaux Bryant
317,Black Sabbath
316,Terry Britten
316,Graham Lyle
315,Berry Gordy
315,Gwen Gordy
315,Tyran Carlo
314,Frankie Lymon
314,Morris Levy
313,Paul Weller
312,James Brown
312,Pee Wee Ellis
311,John Lennon
311,Paul McCartney
310,Mick Jagger
310,Keith Richards
309,Fred Rose
308,Rod Stewart
308,Carmine Appice
307,Thomas Bangalter
307,Guy-Manuel de Homem-Christo
307,Anthony Moore
306,Madonna
306,Patrick Leonard
305,Deborah Harry
305,Nigel Harrison
304,Prince
303,Neil Young
302,Bob Marley
302,Peter Tosh
301,Mick Jagger
301,Keith Richards
300,Jimmy Page
300,Robert Plant
300,John Paul Jones
299,Al Green
298,Mick Jones
298,Joe Strummer
297,Rod Argent
296,"Marshall Mathers,D. Armstrong"
296,P. Herman
295,John Lennon
295,Paul McCartney
294,Berry Gordy
294,Janie Bradford
293,Steven Tyler
293,Joe Perry
292,Stephen Malkmus
291,Chester Burnett
290,Nick Lowe
289,Giorgio Moroder
289,Deborah Harry
288,Joni Mitchell
287,Stevie Wonder
286,Jack White
285,Bill Withers
284,Jeff Barry
284,Ellie Greenwich
284,Phil Spector
283,Robert Smith
283,Simon Gallup
283,Boris Williams
283,Porl Thompson
283,Roger O'Donnell
283,Lol Tolhurst
282,David Bowie
281,Alvertis Isbell (Al Bell)
280,Bruce Springsteen
279,Darby Slick
278,George Harrison
277,Chuck Berry
276,Traditional
276,Brian Wilson
275,"Bobby Braddock,Curly Putnam"
274,Jonathan Richman
273,Kanye West
272,Bono
272,the Edge
272,Adam Clayton
272,Larry Mullen Jr.
271,David Johansen
271,Johnny Thunders
270,Archie Bell
270,Billy Butler
269,Phil Spector
268,Randy Newman
267,Gene Pitney
266,Smokey Robinson
265,Stevie Wonder
264,Leonard Cohen
263,Marvin Junior
263,John Funches
262,Pete Townshend
261,Chip Taylor
260,Bob Dylan
259,Deborah Harry
259,Chris Stein
258,Angus Young
258,Malcolm Young
258,Bon Scott
257,Thom Yorke
256,David Bowie
255,Marc Blitzstein
255,Bertolt Brecht
255,Kurt Weill
254,Jesse Stone
253,Geezer Butler
253,Tony Iommi
253,Ozzy Osbourne
253,William Ward
252,Don Covay
251,S. Robinson
251,H. Jackson
251,M. Wright
251,G. O'Brien
250,Sly Stone
249,Robbie Robertson
248,Gary Jackson
248,Raynard Miner
248,Carl Smith
247,Spencer Davis
247,Steve Winwood
247,Muff Winwood
246,Kate Pierson
246,Fred Schneider
246,Keith Strickland
246,Cindy Wilson
245,Elton John
245,Bernie Taupin
244,Sly Stone
243,Ernie Maresca
242,John Hurley
242,Ronnie Wilkins
241,Hank Cochran
240,Afrika Bambaataa
240,John Robie
240,the Soul Sonic Force
239,Ray Charles
239,Renald Richard
238,Charles Hardin
238,Norman Petty
237,Gene Clark
236,M.I.A.
236,Diplo
235,Barry Mann
235,Cynthia Weil
234,Joe Melson
234,Roy Orbison
233,Marvin Gaye
233,Odell Brown
233,David Ritz
232,Bob Dylan
231,Van Morrison
230,McKinley Morganfield
230,Mel London
230,Ellas McDaniel
229,Nile Rodgers
229,Bernard Edwards
228,The Clash
227,James Taylor
226,Willie Dixon
225,Sylvester Stewart (Sly Stone)
224,Roy Orbison
224,Billy Dees
223,Lou Reed
222,Michael Brown
222,Bob Calilli
222,Tony Sansone
221,Willie Dixon
220,John Lee Hooker
219,Dolly Parton
218,John Sebastian
217,Hank Williams
217,Fred Rose
216,Neil Young
215,Prince
214,Brian Wilson
214,Tony Asher
213,Rudy Martinez
212,Brian Wilson
212,Gary Usher
211,Van Morrison
210,Boudleaux and Felice Bryant
209,Eddie Holland
209,Lamont Dozier
209,Brian Holland
208,Bill Withers
207,Jimmy Campbell
207,Reginald Connelly
207,Harry Woods
206,Bob Dylan
205,John Lennon
205,Paul McCartney
204,Bernard Albrecht
204,Gillian Gilbert
204,Peter Hook
204,Stephen Morris
203,Beck Hansen
202,George Clinton
202,Bernie Worrell
202,Bootsy Collins
201,William Roberts
200,Otis Blackwell
200,Elvis Presley
199,Arlene Smith
198,Guns n' Roses
197,Jerry Allison
197,Buddy Holly
197, Norman Petty
196,Benjamin Nelson
196,Lover Patterson
196,George Treadwell
195,Jimmy Webb
194,Amy Winehouse
193,Allen Collins
193,Ronnie Van Zant
192,Bob Dylan
191,Robin Gibb
191,Barry Gibb
191,Maurice Gibb
190,Angus Young
190,Malcolm Young
190,Brian Johnson
189,Ronny Shannon
188,John Fogerty
187,Bob Dylan
186,John Lennon
186,Paul McCartney
185,Roy Hawkins
185,Rick Darnell
184,Doc Pomus
184,Mort Shuman
183,Booker T. Jones
183,Steve Cropper
183,Lewis Steinberg
183,Al Jackson
182,André 3000
181,Ian Curtis
181,Peter Hook
181,Stephen Morris
181,Bernard Sumner
180,Alex Chilton
179,Tom Petty
179,Jeff Lynne
178,Brian Wilson
178,Roger Christian
177,Sonny Curtis
177,Bobby Fuller
176,Mick Jagger
176,Keith Richards
175,Johnny Rotten
175,Steve Jones
175,Glen Matlock
175,Paul Cook
174,Benny Andersson
174,Björn Ulvaeus
174,Stig Anderson
173,Steven Tyler
172,Jay-Z
172,Rick Rubin
171,Joni Mitchell
170,Berry
170,Buck
170,Mills
170,Stipe
169,Norman Whitfield
169,Barrett Strong
168,Marvin Gaye
168,Ed Townsend
167,Tracy Chapman
166,Freddie Mercury
165,Prince
164,Don Gibson
163,Johnny Cash
162,Carlton Ridenhour
162,Eric Sadler
162,Hank Shocklee
161,Lou Reed
160,Bono
160,the Edge
160,Adam Clayton
160,Larry Mullen Jr.
159,Jimmy DeKnight
159,Max Freedman
158,Harry Warren
157,Paul Simon
156,John Fogerty
155,Sonny West
155,Bill Tilghman
155,Norman Petty
154,John Lennon
154,Paul McCartney
153,Jimi Hendrix
152,Jesse Belvin
152,Curtis Williams
151,Gene Clark
151,Roger McGuinn
151,David Crosby
150,Phil and Don Everly
149,David Bowie
149,Iggy Pop
148,Kris Kristofferson
148,Fred Foster
147,Fred Schneider
147,Ricky Wilson
146,Sly Stone
145,Ramones
144,Prince
143,James Brown
143,Johnny Terry
142,Boudleaux and Felice Bryant
141,John Bonham
141,Jimmy Page
141,Robert Plant
140,John Lennon
140,Paul McCartney
139,Sly Stone
138,John Lennon
138,Paul McCartney
137,Bernie Taupin
137,Elton John
136,George Harrison
135,Wilson Pickett
135,Steve Cropper
134,Pete Townshend
133,Ellas McDaniel
132,Bono
132,the Edge
132,Adam Clayton
132,Larry Mullen Jr.
131,Rod Stewart
131,Martin Quittenton
130,Mars Bonfire
129,Chuck Berry
128,David Bowie
127,Charles Calhoun
126,Gerry Goffin
126,Carole King
125,Mick Jagger
125,Keith Richards
124,James Brown
124,Betty Jean Newsome
123,Alan Price
122,Ben E. King
122,Elmo Glick
122,Jerry Leiber
122,Mike Stoller
121,Freddie Perren
121,Fonce Mizell
121,Deke Richards
121,Berry Gordy Jr.
120,Lindsey Buckingham
119,Rudolph Isley
119,Ronald Isley
119,O'Kelly Isley
118,Rich Harrison
118,Beyonce
118,Jay-Z
117,Al Green
117,Mabon Hodges
