skladba,producent
255,Ahmet Ertegun
254,Ahmet Ertegun
254,Jerry Wexler
253,Rodger Bain
252,Jerry Wexler
251,Sylvia Robinson
250,Sly Stone
249,John Simon
249,the Band
248,Carl Davis
247,Jimmy Miller
246,Don Was
246,Nile Rodgers
245,Gus Dudgeon
244,Sly Stone
243,Gene Schwartz
242,Jerry Wexler
241,Owen Bradley
240,Afrika Bambaataa
240,Arthur Baker
239,Jerry Wexler
238,Petty
237,Terry Melcher
236,Diplo
236,Switch
235,Mickie Most
234,Fred Foster
233,Marvin Gaye
232,Bob Johnston
231,Van Morrison
230,Leonard and Phil Chess
230,Willie Dixon
229,Rodgers
229,Edwards
228,Glyn Johns
227,Peter Asher
226,Leonard and Phil Chess
226,Dixon
225,Sly Stone
224,Wesley Rose
223,David Bowie
223,Mick Ronson
223,Lou Reed
222,Harry Lookofsky
221,Leonard and Phil Chess
220,Calvin Carter
219,Bob Ferguson
218,Erik Jacobsen
217,Rose
216,Niko Bolas
216,Neil Young
215,Prince
214,Wilson
213,Martinez
212,Wilson
211,Tommy Scott
210,Archie Bleyer
209,Holland
209,Lamont Dozier
209,Holland
208,Bill Withers
207,Steve Cropper
207,Jim Stewart
206,Bob Johnston
205,George Martin
204,New Order
203,Karl Stephenson
202,Clinton
201,Chas Chandler
200,Steve Sholes
199,Richard Barrett
198,Mike Clink
197,Petty
196,Jerry Leiber
196,Mike Stoller
195,Al De Lory
194,Mark Ronson
193,Al Kooper
192,Gordon Carroll
191,Barry Gibb
191,Robin Gibb
191,Maurice Gibb
191,Karl Richardson
191,Albhy Galuten
190,Mutt Lange
189,Jerry Wexler
188,Fogerty
187,Bob Johnston
186,George Martin
185,Bill Szymczyk
184,Jerry Leiber
184,Mike Stoller
183,Jim Stewart
182,André 3000
181,Martin Hannett
180,Big Star
179,Lynne
178,Wilson
177,Bob Keane
176,Andrew Loog Oldham
175,Chris Thomas
174,Andersson
174,Ulvaeus
173,Arian Barber
172,Rubin
171,Joni Mitchell
170,Scott Lift
170,R.E.M.
169,Whitfield
168,Marvin Gaye
168,Townsend
167,David Kershenbaum
166,Roy Thomas Baker
165,Sinead O'Connor
165,Nellee Hooper
164,Sid Feller
163,Sam Phillips
162,Rick Rubin
162,Carl Ryder
161,Andy Warhol
161,Tom Wilson
160,Brian Eno
160,Daniel Lanois
159,Milt Gabler
158,George Goldner
157,Tom Wilson
156,Fogerty
155,Petty
154,George Martin
153,Chas Chandler
152,Dootsie Williams
151,Allen Stanton
150,Wesley Rose
149,Bowie
148,Paul Rothchild
147,Chris Blackwell
146,Sly Stone
145,Tommy Erdelyi
145,Ed Stasium
144,Prince
143,Ralph Bass
142,Archie Bleyer
141,Page
140,George Martin
139,Sly Stone
138,George Martin
137,Gus Dudgeon
136,George Martin
135,Jerry Wexler
135,Jim Stewart
134,Glyn Johns
134,the Who
133,Phil and Leonard Chess
132,Brian Eno
132,Daniel Lanois 
131,Rod Stewart
130,Gabriel Mekler
129,Phil and Leonard Chess
128,Ken Scott
127,Ahmet Ertegun
127,Jerry Wexler
126,Luther Dixon
125,Jimmy Miller
124,James Brown
123,Mickie Most
122,Leiber
122,Stoller
121,Freddie Perren
121,Mizell
121,Richards
121,Berry Gordy
120,Fleetwood Mac
120,Richard Dashut
120,Ken Caillat
119,Hugo Peretti
119,Luigi Creatore
118,Harrison
118,Beyonce
117,Willie Mitchell
116,Jimmy Miller
115,"Richard ""Bumps"" Blackwell"
114,Jerry Leiber
114,Mike Stoller
113,Sam Phillips
112,Fred Rose
111,Jim Stewart
111,Steve Cropper
110,Bert Berns
109,Prince
108,Petty
107,Tom Wilson
106,Roy Halee
106,Paul Simon
106,Art Garfunkel
105,Stevie Wonder
104,Giorgio Moroder
104,Bellotte
103,Ken Nelson
102,Chas Chandler
101,Jimmy Miller
100,Danger Mouse
99,Fogerty
98,Willie Mitchell
